x,y,size
-78.161,-40.137,1
-78.278,61.746,1
4.066,-92.819,1
-36.276,-86.033,1
-73.762,56.1,2
27.63,101.262,3
-38.548,-82.866,2
-62.283,76.44,3
22.657,-90.332,2
44.755,90.799,3
-24.507,102.599,1
8.033,103.573,2
-59.686,-61.725,2
-83.254,-46.908,3
34.639,-92.777,2
87.456,76.548,3
86.233,53.229,1
38.912,-95.461,2
-76.368,-45.767,2
-81.497,-38.411,1
90.448,60.096,3
103.116,8.187,2
103.126,11.139,3
37.681,103.577,2
40.367,-87.751,2
111.233,37.749,1
-32.084,-89.003,1
-85.04,36.887,3
105.206,-26.347,1
30.505,103.386,1
42.595,-91.386,3
88.005,62.076,1
96.424,62.831,3
61.61,-77.355,2
-22.498,-92.161,1
100.041,55.099,1
-65.544,-52.766,1
-69.852,-37.633,2
-4.638,107.367,3
-27.972,-90.947,2
5.296,-90.747,3
-62.715,-66.827,1
2.179,-99.123,3
97.699,-34.054,2
-4.886,-98.792,1
-89.118,-19.307,1
102.686,57.353,3
11.969,101.683,1
102.834,-25.089,3
5.263,101.895,1
-74.954,65.869,1
-84.03,1.816,1
-32.43,-89.495,3
78.557,98.446,3
-89.958,55.267,3
-106.181,-19.521,3
106.288,51.676,1
55.148,103.343,3
-58.292,90.205,1
36.466,-102.104,3
-101.019,47.163,1
118.804,17.929,3
-95.107,10.424,3
66.705,-90.611,2
100.693,-41.94,2
94.261,-73.391,3
24.559,-107.464,3
108.325,54.798,2
56.165,109.124,3
-51.084,101.018,1
106.208,-32.66,2
-64.086,79.492,2
57.541,110.246,2
-40.936,116.741,3
28.067,-113.103,3
32.974,124.699,1
-71.844,88.434,2
42.393,-116.001,2
-93.979,56.814,3
-21.174,-111.866,1
119.315,-20.031,2
9.426,120.813,3
123.357,-35.067,1
-107.196,22.857,3
90.975,-73.823,1
17.816,127.941,2
-102.208,-5.264,3
133.111,-7.019,3
-61.25,-81.745,2
36.601,127.112,3
23.956,-113.685,3
-81.483,78.74,2
133.32,-32.483,2
53.523,5.748,2
16.276,55.221,1
-19.324,40.979,3
-8.02,-45.96,3
64.147,-12.046,1
-35.524,34.407,2
-16.269,-40.962,1
-37.15,19.348,1
-40.104,-15.764,3
25.171,-40.99,3
-27.924,42.005,1
-6.171,-45.203,3
65.423,3.507,1
-31.593,-9.788,1
45.629,49.128,1
-9.457,-35.573,2
52.869,13.093,3
-4.004,48.963,2
9.387,-42.989,1
63.46,14.792,1
-32.574,13.67,2
5.502,-43.878,2
4.05,57.08,2
38.519,47.199,2
-8.328,48.286,2
23.442,51.821,2
38.925,46.534,3
19.545,-41.119,2
-40.035,18.335,1
54.984,30.677,1
52.366,-2.308,2
10.207,56.389,1
53.281,2.657,1
57.881,19.778,2
36.296,-40.64,3
15.498,52.395,3
-7.915,-38.718,2
12.661,-42.049,1
-41.904,-11.523,3
25.96,57.735,3
-46.146,19.514,1
9.975,-43.3,3
56.681,-19.213,3
42.411,-30.622,1
66.591,8.055,2
-17.55,48.255,3
26.97,52.546,2
33.347,-41.316,2
-49.169,1.294,2
-22.443,-33.628,2
45.015,36.194,3
-30.547,46.304,2
-48.206,-2.482,3
45.014,-15.745,1
19.613,52.328,2
-44.315,-15.684,3
-5.782,-37.913,3
-7.392,-47.691,2
-12.634,-40.296,1
-20.728,-35.807,1
-35.518,34.788,1
-25.29,-27.909,3
58.69,-9.332,1
51.585,22.291,2
49.607,-9.509,1
29.645,45.847,1
43.757,-23.417,3
3.647,53.25,3
14.805,52.847,2
7.431,57.87,2
-24.393,38.138,1
48.958,35.092,3
-47.577,5.302,3
-1.154,56.018,1
-40.336,5.846,3
54.256,-1.326,2
61.1,-9.153,1
-18.601,45.201,2
43.756,-26.185,2
-31.917,20.323,3
50.514,-8.112,2
-27.746,-36.529,3
-6.224,-36.953,1
32.106,50.655,2
68.34,9.962,1
-15.894,-36.64,3
-6.185,-40.027,3
-24.244,-23.391,3
-9.703,-41.019,1
14.276,-48.866,1
69.163,7.289,2
17.905,53.814,2
17.468,-45.408,1
-34.522,-25.31,3
16.118,55.006,1
50.456,-29.924,2
-22.843,41.297,2
-30.637,25.686,1
-15.374,49.878,2
64.056,-11.684,2
52.067,28.044,1
-21.767,40.299,1
-15.944,38.547,2
28.264,52.215,1
-41.025,1.915,2
25.587,-43.74,1
-4.9,51.116,3
22.833,50.741,1
61.387,6.654,3
-4.593,49.853,1
55.431,-23.41,2
40.028,-35.235,2
44.706,41.569,1
-16.312,44.233,3
-21.772,-33.905,1
-23.97,-25.06,1
55.993,16.299,2
13.492,56.162,3
13.897,56.218,3
5.18,54.942,3
53.695,-13.675,3
60.671,-10.69,3
-45.647,8.813,2
-24.502,-14.113,3
-10.328,52.669,3
-4.842,-40.797,3
56.114,15.994,3
36.153,-45.79,1
-3.826,-40.286,3
-12.636,-39.658,2
1.832,51.998,3
-29.846,-5.537,2
62.605,-3.229,2
7.786,53.443,2
-36.802,-11.136,3
-27.853,-23.534,2
-21.383,-42.76,3
50.532,19.735,3
6.135,51.996,2
-27.602,37.958,2
-14.205,45.791,3
31.975,-41.134,1
46.514,28.521,3
13.939,57.079,2
-22.281,-34.224,2
50.349,-28.84,2
-30.28,2.745,3
-48.66,-1.337,3
-28.778,39.808,1
-18.76,54.637,2
12.768,2.34,3
10.946,6.46,1
3.093,5.698,3
19.864,12.147,2
14.442,8.895,2
