x,y,size
11.75,33.484,2
13.273,45.773,1
7.961,24.158,2
9.404,35.896,1
1.441,58.62,2
4.309,34.637,1
13.149,34.573,2
15.614,54.252,1
2.72,30.851,1
6.546,35.198,2
-12.482,27.707,1
7.646,57.72,2
-6.233,44.875,1
-0.857,53.546,1
9.561,39.489,3
2.715,22.57,3
17.515,35.438,3
19.833,47.844,3
5.975,28.06,2
-4.128,21.909,2
-4.477,21.904,3
-19.815,56.037,2
18.488,57.61,3
-4.175,26.635,3
10.826,37.246,2
8.658,32.052,1
12.372,58.751,1
7.842,34.839,2
-0.862,47.452,1
1.918,21.817,1
6.936,23.126,1
-15.157,30.557,1
-18.934,22.791,3
19.868,48.274,2
-18.646,50.75,3
16.059,57.034,3
-19.28,21.949,1
59.556,63.914,2
50.207,51.359,3
59.375,53.86,3
47.327,63.254,2
50.229,63.553,2
69.759,50.323,3
66.692,51.02,2
48.259,48.241,1
69.253,54.37,1
60.661,63.224,3
50.858,54.078,3
68.758,50.081,3
66.979,68.664,3
60.884,56.677,2
68.598,63.225,3
45.743,73.189,2
50.51,53.161,3
54.042,67.965,2
70.531,67.557,2
52.205,63.764,3
65.074,52.042,2
65.43,49.741,3
50.491,69.76,3
57.069,57.315,2
55.772,64.799,2
69.82,62.644,3
74.578,46.677,2
49.088,46.15,1
71.244,58.25,3
58.3,72.394,3
68.818,51.391,2
54.075,74.856,3
68.806,45.86,3
49.051,70.91,1
59.199,48.144,1
56.304,61.581,1
60.817,69.163,1
57.12,71.696,2
59.882,65.127,3
52.77,69.889,2
61.391,56.4,3
68.468,49.016,1
60.846,56.802,3
45.726,72.618,1
46.103,65.678,3
47.888,64.31,3
73.871,56.65,1
61.421,55.554,3
72.359,73.232,2
46.651,67.894,1
-48.617,72.675,1
-64.07,57.12,2
-45.285,54.749,1
-73.758,62.944,2
-65.593,64.693,1
-71.88,59.652,1
-50.099,73.571,3
-61.995,60.626,1
-59.192,60.852,3
-47.969,65.78,1
-49.459,49.819,3
-72.215,50.814,3
-72.342,69.708,3
-65.073,73.39,1
-56.452,70.989,1
-71.429,72.099,2
-62.834,58.208,3
-48.282,57.285,2
-67.269,49.021,1
-64.917,55.549,3
-50.403,71.757,3
-68.385,45.152,3
-56.904,60.593,3
-62.564,57.391,3
-64.943,51.13,3
-47.178,73.372,3
-60.244,67.586,2
-57.311,49.481,3
-51.713,71.665,3
-47.376,59.125,2
-62.239,58.776,2
-46.775,62.376,3
-72.11,52.943,1
-53.757,53.354,2
-62.893,47.519,3
-67.231,64.252,3
-72.961,45.431,1
-66.681,65.306,2
-45.144,50.018,1
-69.666,62.105,2
-55.63,65.377,1
-66.598,57.794,3
-74.869,63.219,1
-47.2,70.969,3
-66.711,72.399,3
-57.898,58.053,3
-63.463,68.859,3
-55.492,64.782,3
-58.958,66.926,2
-48.639,49.837,3
